lat,lon,severity
47.5946159362793,-122.29898071289062,4.0
47.59335708618164,-122.3010711669922,3.0
47.59684371948242,-122.30107879638672,4.0
47.59650039672852,-122.3010711669922,4.0
47.59992980957031,-122.3062744140625,4.0
47.60076522827149,-122.31037139892578,3.0
47.59548568725586,-122.30020141601562,1.0
47.60032272338867,-122.30006408691406,3.0
47.600833892822266,-122.3009796142578,3.0
47.60081481933594,-122.2988739013672,3.0
47.60081100463867,-122.2990264892578,3.0
47.59464645385742,-122.30023956298828,1.0
47.594635009765625,-122.30130004882812,3.0
47.59462738037109,-122.30110168457033,3.0
47.58555603027344,-122.29889678955078,4.0
47.59827423095703,-122.30653381347656,3.0
47.59885787963867,-122.30648803710938,3.0
47.60008239746094,-122.30628204345705,3.0
47.59759521484375,-122.30628204345705,3.0
47.59754943847656,-122.30481719970705,3.0
47.60025405883789,-122.30320739746094,3.0
47.59919357299805,-122.30463409423828,4.0
47.60025405883789,-122.30339813232422,3.0
47.59754180908203,-122.30645751953124,3.0
47.59655380249024,-122.30490112304688,3.0
47.60040283203125,-122.30337524414062,3.0
47.59997177124024,-122.31597900390624,3.0
47.60091781616211,-122.3129653930664,3.0
47.60092926025391,-122.31022644042967,3.0
47.60091400146485,-122.31149291992188,3.0
47.58829116821289,-122.30248260498048,2.0
47.58845520019531,-122.30247497558594,3.0
47.59294891357422,-122.29896545410156,1.0
47.5930061340332,-122.30107879638672,3.0
47.59449005126953,-122.30802917480467,1.0
47.59451675415039,-122.30911254882812,3.0
47.59457015991211,-122.30789947509766,1.0
47.59446716308594,-122.3078384399414,3.0
47.592681884765625,-122.30768585205078,3.0
47.59461975097656,-122.30726623535156,1.0
47.59455871582031,-122.30718994140624,3.0
47.59442138671875,-122.30632019042967,3.0
47.59454727172852,-122.30638885498048,1.0
47.59514999389648,-122.30496978759766,3.0
47.59587097167969,-122.30607604980467,3.0
47.59446716308594,-122.30638122558594,1.0
47.59596252441406,-122.30606079101562,3.0
47.59444427490234,-122.30613708496094,3.0
47.593021392822266,-122.30616760253906,3.0
47.58639144897461,-122.29911041259766,5.0
47.58839416503906,-122.29827117919922,3.0
47.58686065673828,-122.30020141601562,3.0
